Intercept,MeanConsecDistanceCoef,MeanConsecVertAngleCoef,InteractionCoef,MaximizingClassThreshold,MaximizedAccuracy,DefaultAccuracy,Dataset
-5.67338234,9.33337499,6.51341119,5.47146153,0.38,0.900158479,0.896556692,OriginalDataset_v1
-5.513593051,7.20628349,6.84963715,4.48527465,0.44,0.892522691,0.888344619,OriginalDataset_v2
-5.659248434,9.84355161,6.28097904,5.65017669,0.42,0.90030255,0.897132978,OriginalDataset_v3
-6.73886893,8.13190098,8.730687,5.28273833,0.45,0.918290746,0.915114768,OriginalDataset_v4
-6.810837393,9.93775868,8.2344506,6.29552791,0.41,0.922765988,0.919301285,OriginalDataset_v5
-7.479961324,8.884309,9.75131065,5.99775461,0.46,0.931867496,0.930854911,OriginalDataset_v6
0.931433531,8.95743719,9.70046074,5.95297249,0.5,0.931433531,0.931433531,OriginalDataset_v7
-7.479786309,9.70088677,9.42514835,6.50856344,0.42,0.933314046,0.930999566,OriginalDataset_v8
,,,,,,,
-4.208493353,-0.31908635,9.42794146,4.01811509,0.46,0.846320012,0.844622743,10FPSDataset_v1
-4.071087284,-1.10755921,9.79897552,2.60655855,0.44,0.846782904,0.844159852,10FPSDataset_v2
-4.234559054,-0.20431654,9.55999669,3.38852782,0.44,0.846011418,0.844931338,10FPSDataset_v3
-4.943465053,-0.7265783,11.73835133,3.32463601,0.4,0.869376357,0.867514738,10FPSDataset_v4
-5.044697083,-0.17913277,11.65486993,3.54232907,0.42,0.869066087,0.867049333,10FPSDataset_v5
-5.484085031,-0.55242736,13.04584905,3.30978433,0.44,0.873810638,0.873030728,10FPSDataset_v6
-5.55964309,-0.16735955,13.04258979,3.24868579,0.44,0.874434566,0.873810638,10FPSDataset_v7
-5.527616043,-0.31594651,13.00991834,3.39673745,0.45,0.874122602,0.874122602,10FPSDataset_v8