x,y,dance_movement,
292,227,0,-1
283,228,0,-1
277,227,0,-1
278,223,0,0
263,206,0,0
263,198,0,0
271,185,0,0
284,172,0,0
302,165,0,0
310,179,0,0
321,180,0,0
330,186,1,1
325,186,1,1
315,189,1,1
325,193,1,1
325,202,1,1
315,195,1,1
309,198,1,1
322,205,1,1
307,209,1,1
318,210,1,1
308,221,1,1
306,226,1,1
314,232,1,1
316,237,1,1
312,244,0,1
317,244,0,1
318,260,0,1
319,260,0,1
319,261,0,1
326,262,0,0
327,260,0,0
332,259,0,0
341,261,0,0
343,262,0,0
346,247,0,0
339,244,0,0
331,231,0,0
327,222,0,0
325,221,0,0
315,221,1,0
307,239,1,0
298,234,1,1
298,231,1,1
307,232,1,1
300,234,1,1
298,243,1,1
307,245,1,1
295,244,1,1
304,245,1,1
297,247,1,1
294,246,1,1
300,261,1,1
286,265,1,1
301,277,1,1
298,274,1,1
302,273,0,1
306,275,0,1
303,278,0,1
301,276,0,1
297,275,0,1
297,272,0,1
297,264,0,1
294,262,0,1
295,264,0,1
304,249,0,1
301,243,0,0
308,237,0,0
315,227,0,0
314,221,0,0
326,208,0,0
328,203,0,0
331,188,0,0
342,183,0,0
346,180,0,0
350,175,0,0
346,182,0,0
347,184,1,1
351,191,1,1
353,190,1,1
341,189,1,1
348,202,1,1
340,197,1,1
348,203,1,1
334,204,1,1
341,210,1,1
331,218,1,1
339,227,1,1
337,226,1,1
329,231,1,1
341,238,1,1
332,243,1,1
332,242,1,1
333,245,1,1
337,250,1,1
336,251,1,-1
344,251,0,-1
348,262,0,-1